sensor_id,date,wind_speed,precipitation,wind_gusts
2796.0,2025-01-01,13.2,0.0,30.6
2796.0,2025-01-02,10.0,0.0,23.0
2796.0,2025-01-03,7.7,0.1,20.5
2796.0,2025-01-04,19.1,2.3,44.6
2796.0,2025-01-05,23.0,0.3,49.0
2796.0,2025-01-06,23.3,0.0,49.3
2796.0,2025-01-07,11.8,0.0,28.4
2796.0,2025-01-08,14.4,0.0,29.9
2796.0,2025-01-09,16.8,27.8,36.4
2796.0,2025-01-10,25.6,0.4,56.2
2796.0,2025-01-11,14.4,0.0,31.7
2796.0,2025-01-12,13.5,0.0,32.0
2796.0,2025-01-13,14.6,0.0,29.5
2796.0,2025-01-14,8.0,0.0,16.6
2796.0,2025-01-15,10.0,0.1,23.0
2796.0,2025-01-16,11.4,0.0,20.9
2796.0,2025-01-17,18.4,0.1,37.1
2796.0,2025-01-18,17.5,0.0,36.0
2796.0,2025-01-19,22.1,0.0,45.0
2796.0,2025-01-20,13.7,0.8,32.8
2796.0,2025-01-21,19.5,1.5,41.8
2796.0,2025-01-22,18.1,0.0,41.0
2796.0,2025-01-23,14.6,0.0,35.6
2796.0,2025-01-24,13.9,0.0,27.4
2796.0,2025-01-25,17.1,0.0,34.6
2796.0,2025-01-26,11.5,3.8,26.3
2796.0,2025-01-27,12.8,0.4,28.4
2796.0,2025-01-28,8.1,1.4,17.6
2796.0,2025-01-29,21.5,8.7,42.8
2796.0,2025-01-30,25.5,45.4,55.1
2796.0,2025-01-31,17.8,0.0,39.6
2796.0,2025-02-01,12.1,0.0,27.0
2796.0,2025-02-02,15.8,0.0,34.9
2796.0,2025-02-03,17.0,0.2,35.6
2796.0,2025-02-04,14.7,0.2,33.5
2796.0,2025-02-05,19.0,0.4,41.4
2796.0,2025-02-06,15.5,0.1,32.8
2796.0,2025-02-07,18.0,0.4,36.0
2796.0,2025-02-08,19.9,0.0,43.6
2796.0,2025-02-09,13.7,1.1,28.8
2796.0,2025-02-10,11.7,0.6,26.3
2796.0,2025-02-11,13.9,24.3,38.2
2796.0,2025-02-12,18.0,0.9,41.0
2796.0,2025-02-13,18.2,0.0,43.6
2796.0,2025-02-14,9.3,0.6,24.1
2796.0,2025-02-15,22.1,0.9,46.1
2796.0,2025-02-16,22.5,0.0,47.2
2796.0,2025-02-17,18.2,0.0,46.8
